AgriPulse_India_2000_2026,,,,,,,,,,
,,,,,,,,,,
ID,State_Region,YEAR,CROP-TYPE,SOIL_TYPE,SOIL_PH,FERTILIZER(KG/HA),PESTICIDE(KG/HA),AVG_YIELD,TEMP,RAIN
317,Punjab,2019,Mustard,Alluvial_Soil,7.3,140,1.5,28.2,25.3,990
318,Haryana,2020,Wheat,Alluvial_Soil,7.2,205,2.9,63.5,29.9,1210
319,UP,2021,Potato,Alluvial_Loam,6.9,238,3.6,318,21.5,880
320,Maharashtra,2022,Jowar,Regur_Soil,7.7,80,0.8,20.5,23.8,1550
321,Karnataka,2023,Tobacco,Red_Loamy,6.5,155,1.8,24.2,26.2,650
322,WB,2024,Tea,Acidic_Alluvial,5.3,175,2.4,35,24.6,1020
323,AP,2025,Chillies,Black_Soil,7.6,145,1.7,28,31.4,490
324,Kerala,2026,Pepper,Red_Loam,5.5,70,0.6,12.8,19.4,1150
325,Bihar,2000,Gram,Alluvial_Soil,7.1,105,1.2,20.8,22.2,1480
326,Assam,2001,Rubber,Forest_Soil,5.4,95,1,19.8,28.8,770
327,HP,2002,Potato,Mountain_Soil,5.9,172,2.8,268,25.7,1340
328,J_K,2003,Saffron,Karewa_Soil,7.8,52,0.4,0.15,30.2,590
329,Odisha,2004,Sugarcane,Coastal_Alluvial,6.8,195,3.2,808,20.1,960
330,Telangana,2005,Soybean,Black_Soil,7.4,125,1.6,20.8,24.8,1190
331,Chhattisgarh,2006,Pulses,Red_Yellow_Soil,6.1,100,1.1,16.5,27.9,720
332,Jharkhand,2007,Potato,Red_Loamy,6.4,150,1.8,228,21.4,1570
333,Punjab,2008,Rice,Alluvial_Soil,7.2,218,3.1,58.5,32.5,380
334,Haryana,2009,Mustard,Sandy_Loam,7.6,150,1.9,30.8,17.5,1080
335,Rajasthan,2010,Bajra,Sandy_Desert,8.3,70,0.7,17.5,23.6,1280
336,UP,2011,Wheat,Alluvial_Soil,7.1,222,3.3,66.2,25.1,920
337,Gujarat,2012,Cotton,Black_Soil,7.8,135,1.4,28.8,28.6,510
338,Maharashtra,2013,Sugarcane,Deep_Black,7.9,248,3.7,935,19.9,1620
339,Karnataka,2014,Tobacco,Red_Loamy,6.6,165,2.1,26.8,22.7,1320
340,WB,2015,Jute,New_Alluvial,6.3,115,1.4,41.2,26.4,750
341,TN,2016,Groundnut,Coastal_Sandy,6.8,125,1.3,31.2,24.9,1150
342,Bihar,2017,Maize,Alluvial_Loam,7.1,150,1.9,59.5,31.8,430
343,Kerala,2018,Cardamom,Forest_Soil,5.2,45,0.5,6.2,18.2,1020
344,Assam,2019,Rice,Alluvial_Clay,5.7,130,1.7,42,29.5,580
345,HP,2020,Wheat,Alluvial_Soil,7.2,155,2,50.2,20.8,1420
346,AP,2021,Cotton,Black_Soil,7.6,135,1.6,28.2,27.2,840
347,Odisha,2022,Rice,Red_Yellow,6.3,140,1.8,45.2,25.5,1100
348,Telangana,2023,Turmeric,Black_Soil,7.4,178,2.5,73.5,23.1,1520
349,Punjab,2024,Wheat,Alluvial_Soil,7.3,215,3.2,69,31.2,420
350,Haryana,2025,Rice,Alluvial_Soil,7.1,205,2.8,59.2,18.5,1020
351,Rajasthan,2026,Mustard,Sandy_Arid,7.8,132,1.4,35,24.4,1260
352,UP,2000,Sugarcane,Alluvial_Soil,6.8,245,4,972,26.1,880
353,Gujarat,2001,Castor,Sandy_Loam,7.6,120,1.2,39.2,21.2,1580
354,Maharashtra,2002,Cotton,Black_Regur,7.9,145,1.5,30.2,28.4,680
355,Karnataka,2003,Maize,Red_Loam,6.4,160,2.1,56,25.9,1080
356,WB,2004,Jute,New_Alluvial,6.3,125,1.4,45.2,30.8,460
357,TN,2005,Coconut,Coastal_Sandy,6.7,115,1.1,192,19.1,1000
358,Bihar,2006,Maize,Alluvial_Loam,7.1,155,1.9,64.5,22.5,1400
359,Kerala,2007,Coffee,Laterite_Soil,5.4,95,1,19.8,26.7,830
360,HP,2008,Apple,Mountain_Soil,6.1,185,2.6,185,24.1,1350
361,Assam,2009,Rice,Alluvial_Clay,5.8,135,1.7,46.2,29.4,620
362,Punjab,2010,Rice,Alluvial_Soil,7.1,225,3.3,62.5,20.3,940
363,Haryana,2011,Cotton,Sandy_Loam,7.7,145,1.9,36.2,25.6,1180
364,Rajasthan,2012,Guar,Sandy_Desert,8.4,72,0.8,22.2,27.2,790
365,UP,2013,Wheat,Alluvial_Soil,7.1,235,3.5,68.2,23.4,1480
366,Gujarat,2014,Groundnut,Sandy_Loam,7.3,130,1.5,36.8,32.1,350
367,Maharashtra,2015,Sugarcane,Deep_Black,7.9,255,4.2,940,17.9,1100
368,MP,2016,Gram,Black_Soil,7.5,125,1.4,27.2,24.7,1220
369,WB,2017,Jute,Deltaic_Alluvial,6.3,130,1.3,38.8,26.5,860
370,AP,2018,Chillies,Black_Soil,7.5,150,1.9,30.2,21.9,1500
371,Karnataka,2019,Ragi,Red_Loamy,6.2,115,1.2,36.2,28.1,700
372,TN,2020,Coconut,Coastal_Sandy,6.7,120,1.4,165,25.8,1120
373,Kerala,2021,Tea,Laterite_Soil,5.2,185,2.7,38.5,30.5,480
374,Bihar,2022,Maize,Alluvial_Soil,7,135,1.8,42.2,19.8,980
375,Assam,2023,Tea,Acidic_Alluvial,4.9,195,3,34.8,23.5,1420
376,HP,2024,Apple,Mountain_Soil,6,188,2.8,162,27.4,810
377,Odisha,2025,Rice,Red_Yellow,6.3,145,1.7,44.2,24.2,1300
378,Chhattisgarh,2026,Soybean,Red_Soil,6.2,130,1.5,25.8,28.7,640
379,Telangana,2000,Cotton,Black_Soil,7.6,155,1.9,28.2,20.6,920
380,Uttarakhand,2001,Basmati_Rice,Loamy_Soil,6.6,165,2.1,42.2,25.1,1150
381,Jharkhand,2002,Pulses,Red_Soil,6.3,105,1,18.8,26.9,780
382,Punjab,2003,Mustard,Alluvial_Soil,7.2,150,1.8,31.2,22.8,1550
383,Gujarat,2004,Castor,Sandy_Loam,7.5,135,1.6,36.8,31.5,400
384,Haryana,2005,Wheat,Alluvial_Soil,7.3,220,3.1,66.2,18.7,1050
385,UP,2006,Sugarcane,Alluvial_Loam,6.9,265,4.2,945,24.8,1250
386,WB,2007,Rice,Clayey_Alluvial,5.9,165,2.2,55,26.3,890
387,Maharashtra,2008,Cotton,Deep_Black,7.7,145,1.8,30.8,29.1,550
388,MP,2009,Soybean,Medium_Black,7.4,140,1.7,24.2,21.4,1600
389,Rajasthan,2010,Wheat,Sandy_Loam,7.8,120,1.4,43.2,23.9,1380
390,Karnataka,2011,Maize,Red_Loamy,6.5,170,2.4,49.2,27.6,720
391,AP,2012,Cotton,Black_Soil,7.6,150,1.9,29.2,25.4,1100
392,TN,2013,Banana,Alluvial_Loam,6.7,205,2.9,448,30.2,450
393,Kerala,2014,Pepper,Red_Loam,5.5,85,0.9,14.2,19.5,950
394,Bihar,2015,Tobacco,Calcareous_Alluvial,7,130,1.6,32.8,28.3,600
395,Assam,2016,Rubber,Forest_Soil,5.4,105,1.2,24.2,22.1,1450
396,HP,2017,Potato,Mountain_Soil,5.9,185,2.8,288,26.8,850
397,J_K,2018,Saffron,Karewa_Soil,7.8,65,0.7,0.17,24.5,1200
398,Odisha,2019,Groundnut,Red_Soil,6.8,130,1.8,33.2,23.7,1310
399,Telangana,2020,Turmeric,Red_Loamy,6.9,180,2.7,81,25.6,1030
400,Chhattisgarh,2021,Rice,Red_Yellow_Soil,6.3,155,2,52.2,21.1,1460
401,Punjab,2022,Wheat,Alluvial_Soil,7.2,198,2.8,65.2,24.8,1120
402,Haryana,2023,Rice,Alluvial_Soil,7.1,185,2.5,54.8,26.2,890
403,UP,2024,Sugarcane,Alluvial_Loam,6.8,250,3.9,918,23.1,1450
404,Maharashtra,2025,Cotton,Black_Regur,7.8,128,2,27.5,21.4,1600
405,Gujarat,2026,Groundnut,Sandy_Loam,7.4,112,1.3,31.8,29.1,550
406,Karnataka,2000,Maize,Red_Loam,6.4,152,1.9,49.2,26.3,890
407,AP,2001,Rice,Coastal_Alluvial,6.6,178,2.5,44.8,24.8,1250
408,TN,2002,Coconut,Coastal_Sandy,6.7,98,1,175,18.7,1080
409,Kerala,2003,Rubber,Laterite_Soil,5.1,85,0.8,27.2,32.5,400
410,MP,2004,Soybean,Medium_Black,7.5,138,1.5,24.2,22.2,1580
411,Rajasthan,2005,Wheat,Sandy_Loam,7.9,105,1.2,37.2,26.9,790
412,Bihar,2006,Maize,Alluvial_Loam,7.1,148,1.8,56.8,25.4,1140
413,Assam,2007,Jute,Alluvial_Clay,5.8,92,1.4,32.2,20.6,920
414,HP,2008,Apple,Mountain_Soil,6,170,3.2,165,28.1,640
415,Odisha,2009,Rice,Red_Yellow,6.3,132,1.9,40.8,24.2,1300
416,Telangana,2010,Turmeric,Black_Soil,7.5,162,2.3,70.2,27.4,810
417,Punjab,2011,Mustard,Alluvial_Soil,7.3,142,1.6,28.8,23.5,1420
418,Haryana,2012,Wheat,Alluvial_Soil,7.2,208,3,64.2,19.8,1050
419,UP,2013,Potato,Alluvial_Loam,6.9,240,3.7,322,30.5,480
420,Maharashtra,2014,Jowar,Regur_Soil,7.7,82,0.9,21.2,25.8,1120
421,Karnataka,2015,Tobacco,Red_Loamy,6.5,158,1.9,24.8,28.1,700
422,WB,2016,Tea,Acidic_Alluvial,5.3,178,2.5,35.5,21.9,1500
423,AP,2017,Chillies,Black_Soil,7.6,148,1.8,28.5,26.5,860
424,Kerala,2018,Pepper,Red_Loam,5.5,72,0.7,13.2,24.7,1220
425,Bihar,2019,Gram,Alluvial_Soil,7.1,108,1.3,21.2,17.9,1100
426,Assam,2020,Rubber,Forest_Soil,5.4,98,1.1,20.2,32.1,350
427,HP,2021,Potato,Mountain_Soil,5.9,175,2.9,272,23.4,1480
428,J_K,2022,Saffron,Karewa_Soil,7.8,55,0.5,0.16,27.2,790
429,Odisha,2023,Sugarcane,Coastal_Alluvial,6.8,198,3.3,812,25.6,1180
430,Telangana,2024,Soybean,Black_Soil,7.4,128,1.7,21.2,20.3,940
431,Chhattisgarh,2025,Pulses,Red_Yellow_Soil,6.1,102,1.2,17.2,29.4,620
432,Jharkhand,2026,Potato,Red_Loamy,6.4,152,1.9,232,24.1,1350
433,Punjab,2000,Rice,Alluvial_Soil,7.2,222,3.2,59.2,26.7,830
434,Haryana,2001,Mustard,Sandy_Loam,7.6,152,2,31.5,22.5,1400
435,Rajasthan,2002,Bajra,Sandy_Desert,8.3,72,0.8,18.2,19.1,1000
436,UP,2003,Wheat,Alluvial_Soil,7.1,225,3.4,66.8,30.8,460
437,Gujarat,2004,Cotton,Black_Soil,7.8,138,1.5,29.5,25.9,1080
438,Maharashtra,2005,Sugarcane,Deep_Black,7.9,250,3.8,940,28.4,680
439,Karnataka,2006,Tobacco,Red_Loamy,6.6,168,2.2,27.5,21.2,1580
440,WB,2007,Jute,New_Alluvial,6.3,118,1.5,42.2,26.1,880
441,TN,2008,Groundnut,Coastal_Sandy,6.8,128,1.4,31.8,24.4,1260
442,Bihar,2009,Maize,Alluvial_Loam,7.1,152,2,60.2,18.5,1020
443,Kerala,2010,Cardamom,Forest_Soil,5.2,48,0.6,6.5,31.2,420
444,Assam,2011,Rice,Alluvial_Clay,5.7,135,1.8,42.8,23.1,1520
445,HP,2012,Wheat,Alluvial_Soil,7.2,158,2.1,51.2,25.5,1100
446,AP,2013,Cotton,Black_Soil,7.6,138,1.7,28.8,27.2,840
447,Odisha,2014,Rice,Red_Yellow,6.3,145,1.9,45.8,20.8,1420
448,Telangana,2015,Turmeric,Black_Soil,7.4,180,2.6,74.2,29.5,580
449,Punjab,2016,Wheat,Alluvial_Soil,7.3,218,3.3,69.8,18.2,1020
450,Haryana,2017,Rice,Alluvial_Soil,7.1,208,2.9,60.2,31.8,430
451,Rajasthan,2018,Mustard,Sandy_Arid,7.8,135,1.5,35.8,24.9,1150
452,UP,2019,Sugarcane,Alluvial_Soil,6.8,248,4.1,975,26.4,750
453,Gujarat,2020,Castor,Sandy_Loam,7.6,125,1.3,40.2,22.7,1320
454,Maharashtra,2021,Cotton,Black_Regur,7.9,148,1.6,31.2,19.9,1620
455,Karnataka,2022,Maize,Red_Loam,6.4,162,2.2,57.2,28.6,510
456,WB,2023,Jute,New_Alluvial,6.3,128,1.5,45.8,25.1,920
457,TN,2024,Coconut,Coastal_Sandy,6.7,118,1.2,195,23.6,1280
458,Bihar,2025,Maize,Alluvial_Loam,7.1,158,2,65.5,17.5,1080
459,Kerala,2026,Coffee,Laterite_Soil,5.4,98,1.1,20.2,32.5,380
460,HP,2000,Apple,Mountain_Soil,6.1,188,2.7,188,21.4,1570
461,Assam,2001,Rice,Alluvial_Clay,5.8,138,1.8,46.8,27.9,720
462,Punjab,2002,Rice,Alluvial_Soil,7.1,228,3.4,63.5,24.8,1190
463,Haryana,2003,Cotton,Sandy_Loam,7.7,148,2,36.8,20.1,960
464,Rajasthan,2004,Guar,Sandy_Desert,8.4,75,0.9,23.2,30.2,590
465,UP,2005,Wheat,Alluvial_Soil,7.1,238,3.6,69.2,25.7,1340
466,Gujarat,2006,Groundnut,Sandy_Loam,7.3,135,1.6,37.5,28.8,770
467,Maharashtra,2007,Sugarcane,Deep_Black,7.9,258,4.3,945,22.2,1480
468,MP,2008,Gram,Black_Soil,7.5,128,1.5,28.2,19.4,1150
469,WB,2009,Jute,Deltaic_Alluvial,6.3,132,1.4,39.5,31.4,490
470,AP,2010,Chillies,Black_Soil,7.5,152,2,31.2,24.6,1020
471,Karnataka,2011,Ragi,Red_Loamy,6.2,118,1.3,37.2,26.2,650
472,TN,2012,Coconut,Coastal_Sandy,6.7,122,1.5,168,23.8,1550
473,Kerala,2013,Tea,Laterite_Soil,5.2,188,2.8,39.2,21.5,880
474,Bihar,2014,Maize,Alluvial_Soil,7,138,1.9,43.2,29.9,1210
475,Assam,2015,Tea,Acidic_Alluvial,4.9,198,3.1,35.5,25.3,990
476,HP,2016,Apple,Mountain_Soil,6,192,2.9,165,27.7,1430
477,Odisha,2017,Rice,Red_Yellow,6.3,148,1.8,45.2,18.9,740
478,Chhattisgarh,2018,Soybean,Red_Soil,6.2,135,1.6,26.5,30.6,460
479,Telangana,2019,Cotton,Black_Soil,7.6,158,2,29.2,24.1,1120
480,Uttarakhand,2020,Basmati_Rice,Loamy_Soil,6.6,168,2.2,43.2,26.8,1300
481,Jharkhand,2021,Pulses,Red_Soil,6.3,108,1.1,19.5,22.4,910
482,Punjab,2022,Mustard,Alluvial_Soil,7.2,152,1.9,32.2,20.7,1520
483,Gujarat,2023,Castor,Sandy_Loam,7.5,138,1.7,37.8,28.1,630
484,Haryana,2024,Wheat,Alluvial_Soil,7.3,222,3.2,67.2,25.9,1070
485,UP,2025,Sugarcane,Alluvial_Loam,6.9,268,4.3,950,23.2,1400
486,WB,2026,Rice,Clayey_Alluvial,5.9,168,2.3,56.2,31.7,390
487,Maharashtra,2000,Cotton,Deep_Black,7.7,148,1.9,31.8,19.6,1250
488,MP,2001,Soybean,Medium_Black,7.4,142,1.8,25.2,27.4,860
489,Rajasthan,2002,Wheat,Sandy_Loam,7.8,122,1.5,44.2,24.3,1180
490,Karnataka,2003,Maize,Red_Loamy,6.5,172,2.5,50.2,22.9,950
491,AP,2004,Cotton,Black_Soil,7.6,152,2,30.2,28.5,560
492,TN,2005,Banana,Alluvial_Loam,6.7,208,3,455,21.1,1460
493,Kerala,2006,Pepper,Red_Loam,5.5,88,1,15.2,25.6,1030
494,Bihar,2007,Tobacco,Calcareous_Alluvial,7,132,1.7,33.8,23.7,1310
495,Assam,2008,Rubber,Forest_Soil,5.4,108,1.3,25.2,24.5,1180
496,HP,2009,Potato,Mountain_Soil,5.9,188,2.9,295,26.1,850
497,J_K,2010,Saffron,Karewa_Soil,7.8,68,0.8,0.18,22.3,1440
498,Odisha,2011,Groundnut,Red_Soil,6.8,132,1.9,34.2,28.9,590
499,Telangana,2012,Turmeric,Red_Loamy,6.9,182,2.8,83,23.8,1340
500,Chhattisgarh,2013,Rice,Red_Yellow_Soil,6.3,158,2.1,53.5,25.1,920
501,Punjab,2014,Wheat,Alluvial_Soil,7.2,202,2.9,65.8,27.4,810
502,Haryana,2015,Rice,Alluvial_Soil,7.1,188,2.6,55.2,21.9,1500
503,UP,2016,Sugarcane,Alluvial_Loam,6.8,255,4,925,28.1,700
504,Maharashtra,2017,Cotton,Black_Regur,7.8,132,2.1,28.2,25.8,1120
505,Gujarat,2018,Groundnut,Sandy_Loam,7.4,115,1.4,32.5,30.5,480
506,Karnataka,2019,Maize,Red_Loam,6.4,155,2,49.8,19.8,980
507,AP,2020,Rice,Coastal_Alluvial,6.6,182,2.6,45.5,23.5,1420
508,TN,2021,Coconut,Coastal_Sandy,6.7,102,1.1,178,27.4,810
509,Kerala,2022,Rubber,Laterite_Soil,5.1,88,0.9,27.8,24.2,1300
510,MP,2023,Soybean,Medium_Black,7.5,142,1.6,24.8,28.7,640
511,Rajasthan,2024,Wheat,Sandy_Loam,7.9,108,1.3,37.8,20.6,920
512,Bihar,2025,Maize,Alluvial_Loam,7.1,152,1.9,57.5,25.1,1150
513,Assam,2026,Jute,Alluvial_Clay,5.8,95,1.5,32.8,26.9,780
514,HP,2000,Apple,Mountain_Soil,6,175,3.3,168,22.8,1550
515,Odisha,2001,Rice,Red_Yellow,6.3,135,2,41.5,31.5,400
516,Telangana,2002,Turmeric,Black_Soil,7.5,165,2.4,71.2,18.7,1050
517,Punjab,2003,Mustard,Alluvial_Soil,7.3,145,1.7,29.5,24.8,1250
518,Haryana,2004,Wheat,Alluvial_Soil,7.2,212,3.1,65,26.3,890
519,UP,2005,Potato,Alluvial_Loam,6.9,245,3.8,328,29.1,550
520,Maharashtra,2006,Jowar,Regur_Soil,7.7,85,1,21.8,21.4,1600
521,Karnataka,2007,Tobacco,Red_Loamy,6.5,162,2,25.5,23.9,1380
522,WB,2008,Tea,Acidic_Alluvial,5.3,182,2.6,36.2,27.6,720
523,AP,2009,Chillies,Black_Soil,7.6,152,1.9,29.2,25.4,1100
524,Kerala,2010,Pepper,Red_Loam,5.5,75,0.8,13.8,30.2,450
525,Bihar,2011,Gram,Alluvial_Soil,7.1,112,1.4,21.8,19.5,950
526,Assam,2012,Rubber,Forest_Soil,5.4,102,1.2,20.8,28.3,600
527,HP,2013,Potato,Mountain_Soil,5.9,178,3,275,22.1,1450
528,J_K,2014,Saffron,Karewa_Soil,7.8,58,0.6,0.17,26.8,850
529,Odisha,2015,Sugarcane,Coastal_Alluvial,6.8,202,3.4,818,24.5,1200
530,Telangana,2016,Soybean,Black_Soil,7.4,132,1.8,21.8,23.7,1310
531,Chhattisgarh,2017,Pulses,Red_Yellow_Soil,6.1,105,1.3,17.8,25.6,1030
532,Jharkhand,2018,Potato,Red_Loamy,6.4,155,2,238,21.1,1460
533,Punjab,2019,Rice,Alluvial_Soil,7.2,225,3.3,60.2,28.5,560
534,Haryana,2020,Mustard,Sandy_Loam,7.6,155,2.1,32.2,22.9,950
535,Rajasthan,2021,Bajra,Sandy_Desert,8.3,75,0.9,18.8,24.3,1180
536,UP,2022,Wheat,Alluvial_Soil,7.1,230,3.5,67.5,27.4,860
537,Gujarat,2023,Cotton,Black_Soil,7.8,142,1.6,30.2,19.6,1250
538,Maharashtra,2024,Sugarcane,Deep_Black,7.9,255,3.9,948,31.7,390
539,Karnataka,2025,Tobacco,Red_Loamy,6.6,172,2.3,28.2,23.2,1400
540,WB,2026,Jute,New_Alluvial,6.3,122,1.6,42.8,25.9,1070
541,TN,2000,Groundnut,Coastal_Sandy,6.8,132,1.5,32.5,28.1,630
542,Bihar,2001,Maize,Alluvial_Loam,7.1,155,2.1,61.2,20.7,1520
543,Kerala,2002,Cardamom,Forest_Soil,5.2,52,0.7,6.8,22.4,910
544,Assam,2003,Rice,Alluvial_Clay,5.7,138,1.9,43.5,26.8,1300
545,HP,2004,Wheat,Alluvial_Soil,7.2,162,2.2,52.2,24.1,1120
546,AP,2005,Cotton,Black_Soil,7.6,142,1.8,29.5,30.6,460
547,Odisha,2006,Rice,Red_Yellow,6.3,148,2,46.5,18.9,740
548,Telangana,2007,Turmeric,Black_Soil,7.4,185,2.7,75,27.7,1430
549,Punjab,2008,Wheat,Alluvial_Soil,7.3,222,3.4,70.5,25.3,990
550,Haryana,2009,Rice,Alluvial_Soil,7.1,212,3,61.2,29.9,1210
551,Rajasthan,2010,Mustard,Sandy_Arid,7.8,138,1.6,36.5,21.5,880
552,UP,2011,Sugarcane,Alluvial_Soil,6.8,252,4.2,982,23.8,1550
553,Gujarat,2012,Castor,Sandy_Loam,7.6,128,1.4,41.2,26.2,650
554,Maharashtra,2013,Cotton,Black_Regur,7.9,152,1.7,32.2,24.6,1020
555,Karnataka,2014,Maize,Red_Loam,6.4,165,2.3,58.2,31.4,490
556,WB,2015,Jute,New_Alluvial,6.3,132,1.6,46.5,19.4,1150
557,TN,2016,Coconut,Coastal_Sandy,6.7,122,1.3,198,22.2,1480
558,Bihar,2017,Maize,Alluvial_Loam,7.1,162,2.1,66.5,28.8,770
559,Kerala,2018,Coffee,Laterite_Soil,5.4,102,1.2,20.8,25.7,1340
560,HP,2019,Apple,Mountain_Soil,6.1,192,2.8,192,30.2,590
561,Assam,2020,Rice,Alluvial_Clay,5.8,142,1.9,47.5,20.1,960
562,Punjab,2021,Rice,Alluvial_Soil,7.1,232,3.5,64.5,24.8,1190
563,Haryana,2022,Cotton,Sandy_Loam,7.7,152,2.1,37.5,27.9,720
564,Rajasthan,2023,Guar,Sandy_Desert,8.4,78,1,24.2,21.4,1570
565,UP,2024,Wheat,Alluvial_Soil,7.1,242,3.7,70.2,32.5,380
566,Gujarat,2025,Groundnut,Sandy_Loam,7.3,138,1.7,38.2,17.5,1080
567,Maharashtra,2026,Sugarcane,Deep_Black,7.9,262,4.4,952,23.6,1280
568,MP,2000,Gram,Black_Soil,7.5,132,1.6,28.8,25.1,920
569,WB,2001,Jute,Deltaic_Alluvial,6.3,135,1.5,40.2,28.6,510
570,AP,2002,Chillies,Black_Soil,7.5,155,2.1,32.2,19.9,1620
571,Karnataka,2003,Ragi,Red_Loamy,6.2,122,1.4,38.2,22.7,1320
572,TN,2004,Coconut,Coastal_Sandy,6.7,125,1.6,172,26.4,750
573,Kerala,2005,Tea,Laterite_Soil,5.2,192,2.9,40.2,24.9,1150
574,Bihar,2006,Maize,Alluvial_Soil,7,142,2,44.2,31.8,430
575,Assam,2007,Tea,Acidic_Alluvial,4.9,202,3.2,36.5,18.2,1020
576,HP,2008,Apple,Mountain_Soil,6,195,3,168,29.5,580
577,Odisha,2009,Rice,Red_Yellow,6.3,152,1.9,46.2,20.8,1420
578,Chhattisgarh,2010,Soybean,Red_Soil,6.2,138,1.7,27.2,27.2,840
579,Telangana,2011,Cotton,Black_Soil,7.6,162,2.1,30.2,25.5,1100
580,Uttarakhand,2012,Basmati_Rice,Loamy_Soil,6.6,172,2.3,44.5,23.1,1520
581,Jharkhand,2013,Pulses,Red_Soil,6.3,112,1.2,20.2,31.2,420
582,Punjab,2014,Mustard,Alluvial_Soil,7.2,155,2,33.2,18.5,1020
583,Gujarat,2015,Castor,Sandy_Loam,7.5,142,1.8,38.8,24.4,1260
584,Haryana,2016,Wheat,Alluvial_Soil,7.3,225,3.3,68.2,26.1,880
585,UP,2017,Sugarcane,Alluvial_Loam,6.9,272,4.4,958,21.2,1580
586,WB,2018,Rice,Clayey_Alluvial,5.9,172,2.4,57.2,28.4,680
587,Maharashtra,2019,Cotton,Deep_Black,7.7,152,2,32.8,25.9,1080
588,MP,2020,Soybean,Medium_Black,7.4,145,1.9,26.2,30.8,460
589,Rajasthan,2021,Wheat,Sandy_Loam,7.8,125,1.6,45.2,19.1,1000
590,Karnataka,2022,Maize,Red_Loamy,6.5,175,2.6,51.2,22.5,1400
591,AP,2023,Cotton,Black_Soil,7.6,155,2.1,31.2,26.7,830
592,TN,2024,Banana,Alluvial_Loam,6.7,212,3.1,465,24.1,1350
593,Kerala,2025,Pepper,Red_Loam,5.5,92,1.1,16.2,29.4,620
594,Bihar,2026,Tobacco,Calcareous_Alluvial,7,135,1.8,34.8,20.3,940
595,Assam,2000,Rubber,Forest_Soil,5.4,112,1.4,26.2,25.6,1180
596,HP,2001,Potato,Mountain_Soil,5.9,192,3,305,27.2,790
597,J_K,2002,Saffron,Karewa_Soil,7.8,72,0.9,0.19,23.4,1480
598,Odisha,2003,Groundnut,Red_Soil,6.8,135,2,35.2,24.5,1150
599,Telangana,2004,Turmeric,Red_Loamy,6.9,185,2.9,85,26.8,840
600,Chhattisgarh,2005,Rice,Red_Yellow_Soil,6.3,162,2.2,54.5,22.1,1420
601,Punjab,2006,Wheat,Alluvial_Soil,7.2,205,3,66.5,28.3,590
602,Haryana,2007,Rice,Alluvial_Soil,7.1,192,2.7,56.2,19.5,1020
603,UP,2008,Sugarcane,Alluvial_Loam,6.8,260,4.1,930,30.2,430
604,Maharashtra,2009,Cotton,Black_Regur,7.8,135,2.2,28.8,25.4,1160
605,Gujarat,2010,Groundnut,Sandy_Loam,7.4,118,1.5,33.2,27.6,750
606,Karnataka,2011,Maize,Red_Loam,6.4,158,2.1,50.5,23.9,1320
607,AP,2012,Rice,Coastal_Alluvial,6.6,185,2.7,46.2,21.4,1620
608,TN,2013,Coconut,Coastal_Sandy,6.7,105,1.2,180,29.1,510
609,Kerala,2014,Rubber,Laterite_Soil,5.1,90,1,28.2,26.3,920
610,MP,2015,Soybean,Medium_Black,7.5,145,1.7,25.5,24.8,1280
611,Rajasthan,2016,Wheat,Sandy_Loam,7.9,112,1.4,38.5,18.7,1080
612,Bihar,2017,Maize,Alluvial_Loam,7.1,155,2,58.2,31.5,380
613,Assam,2018,Jute,Alluvial_Clay,5.8,98,1.6,33.5,22.8,1570
614,HP,2019,Apple,Mountain_Soil,6,180,3.4,172,26.9,720
615,Odisha,2020,Rice,Red_Yellow,6.3,138,2.1,42.2,25.1,1190
616,Telangana,2021,Turmeric,Black_Soil,7.5,168,2.5,72.5,20.6,960
617,Punjab,2022,Mustard,Alluvial_Soil,7.3,148,1.8,30.2,28.7,590
618,Haryana,2023,Wheat,Alluvial_Soil,7.2,215,3.2,65.8,24.2,1340
619,UP,2024,Potato,Alluvial_Loam,6.9,248,3.9,332,27.4,770
620,Maharashtra,2025,Jowar,Regur_Soil,7.7,88,1.1,22.5,23.5,1480
621,Karnataka,2026,Tobacco,Red_Loamy,6.5,165,2.1,26.2,19.8,1150
622,WB,2000,Tea,Acidic_Alluvial,5.3,185,2.7,36.8,30.5,490
623,AP,2001,Chillies,Black_Soil,7.6,155,2,29.8,25.8,1020
624,Kerala,2002,Pepper,Red_Loam,5.5,78,0.9,14.5,28.1,650
625,Bihar,2003,Gram,Alluvial_Soil,7.1,115,1.5,22.5,21.9,1550
626,Assam,2004,Rubber,Forest_Soil,5.4,105,1.3,21.5,26.5,880
627,HP,2005,Potato,Mountain_Soil,5.9,182,3.1,278,24.7,1210
628,J_K,2006,Saffron,Karewa_Soil,7.8,60,0.7,0.18,17.9,1210
629,Odisha,2007,Sugarcane,Coastal_Alluvial,6.8,205,3.5,825,32.1,460
630,Telangana,2008,Soybean,Black_Soil,7.4,135,1.9,22.5,23.4,1310
631,Chhattisgarh,2009,Pulses,Red_Yellow_Soil,6.1,108,1.4,18.2,27.2,920
632,Jharkhand,2010,Potato,Red_Loamy,6.4,158,2.1,242,25.6,910
633,Punjab,2011,Rice,Alluvial_Soil,7.2,228,3.4,61.2,20.3,1520
634,Haryana,2012,Mustard,Sandy_Loam,7.6,158,2.2,32.8,29.4,630
635,Rajasthan,2013,Bajra,Sandy_Desert,8.3,78,1,19.5,24.1,1070
